OID_,subtype,curb_id,txt_failed,txt,img_urls,arrows,type,symbols,dist_m,facing,
8243, ,cGhpbGFkZWxwaGlhOjMzODI3,F, ,"https://api.coord.com/surveyor/photo/360633, https://api.coord.com/surveyor/photo/376957", ,ADA Curb Ramp, ,67.9700012, ,
8244, ,cGhpbGFkZWxwaGlhOjMzODI3,F, ,"https://api.coord.com/surveyor/photo/360634, https://api.coord.com/surveyor/photo/376959", ,ADA Curb Ramp, ,73.1600037, ,
8248, ,cGhpbGFkZWxwaGlhOjMzODI3,F, ,"https://api.coord.com/surveyor/photo/360637, https://api.coord.com/surveyor/photo/376965", ,ADA Curb Ramp, ,120.4499969, ,
8252, ,cGhpbGFkZWxwaGlhOjMzODI4,F, ,"https://api.coord.com/surveyor/photo/360640, https://api.coord.com/surveyor/photo/376972", ,ADA Curb Ramp, ,77.3300018, ,
8253, ,cGhpbGFkZWxwaGlhOjMzODI5,F, ,https://api.coord.com/surveyor/photo/376974, ,ADA Curb Ramp, ,0.02, ,
8256, ,cGhpbGFkZWxwaGlhOjMzODI5,F, ,"https://api.coord.com/surveyor/photo/376981, https://api.coord.com/surveyor/photo/360643", ,Hydrant, ,73.6299973, ,
8257, ,cGhpbGFkZWxwaGlhOjMzODI5,F, ,"https://api.coord.com/surveyor/photo/376983, https://api.coord.com/surveyor/photo/360644", ,ADA Curb Ramp, ,78.25, ,
8258, ,cGhpbGFkZWxwaGlhOjMzODMw,F, ,"https://api.coord.com/surveyor/photo/360645, https://api.coord.com/surveyor/photo/346935", ,ADA Curb Ramp, ,2.8399999, ,
8263, ,cGhpbGFkZWxwaGlhOjMzODMw,F, ,"https://api.coord.com/surveyor/photo/360648, https://api.coord.com/surveyor/photo/346936", ,Hydrant, ,35.6199989, ,
8264, ,cGhpbGFkZWxwaGlhOjMzODMw,F, ,"https://api.coord.com/surveyor/photo/360649, https://api.coord.com/surveyor/photo/346941", ,ADA Curb Ramp, ,38.9599991, ,
8265, ,cGhpbGFkZWxwaGlhOjMzODMw,F, ,"https://api.coord.com/surveyor/photo/360650, https://api.coord.com/surveyor/photo/346943", ,ADA Curb Ramp, ,48.25, ,
8269, ,cGhpbGFkZWxwaGlhOjMzODMw,F, ,"https://api.coord.com/surveyor/photo/360653, https://api.coord.com/surveyor/photo/346950", ,ADA Curb Ramp, ,89.3099976, ,
8270, ,cGhpbGFkZWxwaGlhOjMzODMx,F, ,"https://api.coord.com/surveyor/photo/376473, https://api.coord.com/surveyor/photo/346955", ,ADA Curb Ramp, ,0, ,
8271, ,cGhpbGFkZWxwaGlhOjMzODMx,F, ,"https://api.coord.com/surveyor/photo/376474, https://api.coord.com/surveyor/photo/346959", ,Hydrant, ,13.75, ,
8276, ,cGhpbGFkZWxwaGlhOjMzODMx,F, ,https://api.coord.com/surveyor/photo/346963, ,ADA Curb Ramp, ,72.8199997, ,
8277, ,cGhpbGFkZWxwaGlhOjMzODQ4,F, ,"https://api.coord.com/surveyor/photo/377742, https://api.coord.com/surveyor/photo/377287", ,ADA Curb Ramp, ,0.04, ,
8278, ,cGhpbGFkZWxwaGlhOjMzODQ5,F, ,"https://api.coord.com/surveyor/photo/377745, https://api.coord.com/surveyor/photo/377289", ,ADA Curb Ramp, ,44.7400017, ,
8279, ,cGhpbGFkZWxwaGlhOjMzODUw,F, ,"https://api.coord.com/surveyor/photo/377292, https://api.coord.com/surveyor/photo/377748", ,ADA Curb Ramp, ,0.01, ,
8286, ,cGhpbGFkZWxwaGlhOjMzODUw,F, ,https://api.coord.com/surveyor/photo/377299, ,ADA Curb Ramp, ,39.3400002, ,
8287, ,cGhpbGFkZWxwaGlhOjMzODU4,F, ,"https://api.coord.com/surveyor/photo/365833, https://api.coord.com/surveyor/photo/366672", ,ADA Curb Ramp, ,0, ,
8296, ,cGhpbGFkZWxwaGlhOjMzODU4,T, ,https://api.coord.com/surveyor/photo/365837, ,Parking Sign, ,54.9399986, ,
